error_message,error_type
error: invalid initializer for array,syntactic
error: misplaced access modifier,syntactic
fatal error: missing 'try' around throw,syntactic
error: misplaced catch handler,syntactic
error: invalid 'new' declaration,syntactic
fatal error: missing type before variable name,syntactic
error: misplaced throw statement,syntactic
error: invalid sizeof usage,syntactic
fatal error: statement has no effect,syntactic
error: incomplete type definition,semantic
error: incompatible return type,semantic
fatal error: memory leak detected,semantic
error: assigning pointer to integer,semantic
runtime error: invalid pointer dereference,semantic
error: illegal pointer arithmetic,semantic
fatal error: uninitialized variable access,semantic
error: dereferencing dangling pointer,semantic
runtime error: heap overflow,semantic
error: null reference dereference,semantic
fatal error: assigning to const variable,semantic
error: mismatched pointer assignment,semantic
runtime error: corrupted heap block,semantic
error: invalid implicit conversion,semantic
error: function arguments do not match,semantic
error: dereferencing type 'void',semantic
error: invalid object member access,semantic
fatal error: accessing deleted object,semantic
error: invalid type promotion,semantic
runtime error: division by zero,semantic
error: invalid cast between unrelated types,semantic
error: calling pure virtual function,semantic
fatal error: memory corruption detected,semantic
error: undefined behavior detected,semantic
runtime error: stack buffer overflow,semantic
error: dynamic_cast to wrong type,semantic
fatal error: new allocation failed,semantic
error: function call on destroyed object,semantic
runtime error: invalid reinterpret_cast,semantic
error: assigning const to non-const reference,semantic
fatal error: access violation,semantic
error: bad dynamic_cast,semantic
runtime error: pointer address misaligned,semantic
error: assigning incompatible function pointer,semantic
fatal error: mismatched delete operator,semantic
error: dangling reference returned,semantic
error: invalid object slicing,semantic
fatal error: null reference passed to function,semantic
error: pointer conversion loses precision,semantic
runtime error: double free detected,semantic
error: invalid array indexing,semantic
fatal error: dereferencing wild pointer,semantic
error: accessing freed pointer,semantic
runtime error: segmentation fault detected,semantic
error: invalid array subscript,semantic
fatal error: overwriting memory beyond buffer,semantic
error: calling method on null pointer,semantic
runtime error: invalid jump address,semantic
error: accessing uninitialized memory,semantic
fatal error: type cast failed,semantic
error: assignment discards qualifiers,semantic
runtime error: invalid memory alignment,semantic
error: invalid type of assignment,semantic
fatal error: infinite recursion detected,semantic
error: deleting pointer twice,semantic
runtime error: object deleted still in use,semantic
error: stack overflow due to recursion,semantic
fatal error: object slicing detected,semantic
error: invalid polymorphic conversion,semantic
runtime error: heap use after free,semantic
fatal error: dereferencing nullptr,semantic
error: binding rvalue to non-const lvalue reference,semantic
runtime error: dangling reference usage,semantic
error: incompatible operand types,semantic
fatal error: undefined operator overload,semantic
error: invalid comparison between enum and int,semantic
runtime error: memory double allocation,semantic
error: invalid cast from pointer to bool,semantic
fatal error: type mismatch in return statement,semantic
error: assigning incompatible value,semantic
runtime error: heap underflow detected,semantic
error: uninitialized local variable,semantic
fatal error: unreachable code detected,semantic
error: invalid expression in constant context,semantic
runtime error: corrupted reference,semantic
error: out-of-bounds access,semantic
fatal error: invalid reinterpret_cast usage,semantic
error: multiple definition of variable,semantic
runtime error: invalid template instantiation,semantic
error: type mismatch in arithmetic operation,semantic
fatal error: dereference of null object,semantic
error: illegal pointer type conversion,semantic
runtime error: invalid reference access,semantic
error: passing uninitialized variable to function,semantic
fatal error: recursive type dependency,semantic
error: invalid arithmetic conversion,semantic
runtime error: double deletion,semantic
error: object used after scope end,semantic
fatal error: stack overflow detected,semantic
runtime error: memory leak in loop,semantic
error: variable shadowing detected,semantic
fatal error: non-constant condition in constexpr,semantic
error: using deleted constructor,semantic
runtime error: invalid operator usage,semantic
error: non-const reference to temporary,semantic
fatal error: type deduction failed,semantic
error: invalid 'this' pointer,semantic
runtime error: object lifetime violation,semantic
error: dereferencing moved-from object,semantic
fatal error: use of expired shared_ptr,semantic
error: bad weak_ptr lock,semantic
runtime error: reference count underflow,semantic
error: incompatible type promotion,semantic
fatal error: unsafe type casting,semantic
error: binding const to mutable reference,semantic
runtime error: invalid thread access,semantic
error: invalid atomic operation,semantic
fatal error: invalid memory barrier,semantic
error: unsynchronized shared access,semantic
error: atomic store to const object,semantic
fatal error: overflow in atomic operation,semantic
error: data race on global variable,semantic
runtime error: use of dangling pointer,semantic
error: dereference before initialization,semantic
fatal error: out-of-memory exception,semantic
error: accessing freed memory,semantic
runtime error: corrupted memory detected,semantic
error: use of invalidated pointer,semantic
fatal error: segmentation fault,semantic
